mood;text;time
0.4;Dagen har vært så som så. Litt stresset på jobben;2023-03-5 14:50:41.123456
0.1;Jeg har hatt en forferdelig dag. Alt som kunne gå galt;2023-03-7 09:28:56.123456
0.9;Alt går bra her! Jeg har akkurat fått en ny jobb og jeg gleder meg til å komme i gang.;2023-03-4 13:49:00.123456
0.6;Jeg føler meg litt urolig i dag. Det er noe som plager meg;2023-03-3 10:06:54.123456
0.3;Jeg har hatt en rolig dag så langt;2023-03-8 16:54:23.123456
0.2;Jeg har hatt en veldig dårlig dag. Ting har ikke gått som planlagt og jeg føler meg stresset.;2023-03-1 13:44:03.123456
0.7;Jeg føler meg veldig takknemlig for livet mitt akkurat nå. Jeg har gode venner og familie;2023-03-2 10:34:53.123456
0.5;Jeg har hatt en travel dag på jobben;2023-03-4 08:25:38.123456
0.4;Jeg har hatt en ganske grei dag så langt. Ikke så mye å klage på;2023-03-2 12:51:16.123456
0.8;Jeg har det veldig bra i dag! Jeg har fått mye gjort og føler meg energisk.;2023-03-9 12:16:09.123456
0.1;Jeg har hatt en forferdelig dag på jobben. Jeg føler meg overveldet og stresset.;2023-03-4 07:06:50.123456
0.9;Jeg har hatt en fantastisk dag! Jeg har fått gode nyheter og føler meg lykkelig.;2023-03-8 17:41:50.123456
0.6;Jeg føler meg litt lei og uinspirert i dag. Trenger å finne motivasjonen min igjen.;2023-03-2 15:07:38.123456
0.2;Jeg har hatt en skikkelig dårlig dag. Alt føles feil og jeg vet ikke hva jeg skal gjøre.;2023-03-8 16:30:25.123456
0.3;Jeg har hatt en stille dag hjemme. Det har vært fint å slappe av og ta det med ro.;2023-03-3 13:32:42.123456
0.7;Jeg føler meg veldig optimistisk for tiden. Jeg har store planer og jeg tror de vil lykkes.;2023-03-7 07:29:38.123456
0.5;Jeg har hatt en stressende dag på jobben;2023-03-6 12:52:52.123456
0.8;Jeg føler meg veldig glad i dag. Livet er godt og jeg har mange grunner til å smile.;2023-03-1 16:26:46.123456
0.1;Jeg har hatt en forferdelig dag på jobben. Jeg føler meg frustrert og overveldet.;2023-03-8 09:58:07.123456
0.9;Jeg har hatt en fantastisk dag! Jeg har vært produktiv og fått mye gjort.;2023-03-9 08:20:56.123456
0.6;Jeg føler meg litt trist i dag. Noen ting har skjedd som har påvirket meg.;2023-03-3 14:23:16.123456
0.3;Jeg har hatt en rolig dag hjemme;2023-03-2 10:20:40.123456
0.2;Jeg har hatt en veldig dårlig dag. Alt har;2023-03-8 17:47:29.123456
